zero_crossing_rate,chroma_stft_1,chroma_stft_2,chroma_stft_3,chroma_stft_4,chroma_stft_5,chroma_stft_6,chroma_stft_7,chroma_stft_8,chroma_stft_9,chroma_stft_10,chroma_stft_11,chroma_stft_12,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,mfcc_1_delta,mfcc_2_delta,mfcc_3_delta,mfcc_4_delta,mfcc_5_delta,mfcc_6_delta,mfcc_7_delta,mfcc_8_delta,mfcc_9_delta,mfcc_10_delta,mfcc_11_delta,mfcc_12_delta,mfcc_13_delta,mfcc_14_delta,mfcc_15_delta,mfcc_16_delta,mfcc_17_delta,mfcc_18_delta,mfcc_19_delta,mfcc_20_delta,mfcc_1_delta2,mfcc_2_delta2,mfcc_3_delta2,mfcc_4_delta2,mfcc_5_delta2,mfcc_6_delta2,mfcc_7_delta2,mfcc_8_delta2,mfcc_9_delta2,mfcc_10_delta2,mfcc_11_delta2,mfcc_12_delta2,mfcc_13_delta2,mfcc_14_delta2,mfcc_15_delta2,mfcc_16_delta2,mfcc_17_delta2,mfcc_18_delta2,mfcc_19_delta2,mfcc_20_delta2,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,spectral_rolloff,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,label
0.0755688790622884,0.2837014198303222,0.2930574417114258,0.2739841639995575,0.2976899743080139,0.318693071603775,0.3440222442150116,0.4171756207942962,0.4355481266975403,0.4110412001609802,0.3716959655284881,0.3561396896839142,0.3201726078987121,-313.1375732421875,137.57150268554688,-6.6725945472717285,16.396150588989258,-11.446232795715332,3.3386244773864746,-29.231273651123047,-3.793884754180908,-14.085705757141112,-23.598648071289062,-7.816262245178223,-4.682919502258301,-9.567008018493652,-10.216753959655762,-3.1642985343933105,-7.305689811706543,-1.4788645505905151,-8.26439380645752,-8.549367904663086,-5.920761585235596,0.0584193840622901,0.0287170205265283,-0.0111916940659284,0.0016883134376257,0.0025671285111457,-0.0021787672303617,-0.0145415430888533,0.0023493214976042,0.0092005832120776,-0.0076701655052602,-0.0055378363467752,0.0002093905932269,0.0075088674202561,-0.000940388708841,-0.0086492449045181,-0.0034237010404467,0.0012033336097374,0.0027867145836353,-0.0044907890260219,3.0088845051068347e-06,-0.1034107282757759,-0.0592318512499332,0.0130769750103354,0.0030293241143226,-0.0058812559582293,-0.004816684871912,0.0134777631610631,0.0109776388853788,0.0074193989858031,0.0059893899597227,0.006359233520925,0.0010630243923515,0.0010147023713216,0.0012822868302464,0.0028240366373211,0.0078090508468449,-0.0003876097034662,0.0046393889933824,0.0021011470817029,0.0020998753607273,0.0690560638904571,2574.8779209664663,2484.8933386845124,19.849462584104018,15.375644639438272,18.02324213761547,17.794422946260717,18.913600488532317,27.964474230404317,54.8635238578668,4358.9063888477485,-0.0263957349963059,-0.0434252690544119,-0.0113073454635565,-0.0452728720962594,-0.0071185862479601,0.0177777365074914,0
0.0506005722075013,0.2802648320893548,0.3130464693696032,0.23918713506730743,0.3006326472995385,0.32287360556601424,0.3375783999384575,0.4019466952567713,0.43460149064122744,0.4020706985074126,0.36400688247005786,0.3799215155759258,0.32286567252667364,-313.15781573354883,137.5957649973655,-6.67967827715586,16.367123903296555,-11.448280609094287,3.33739821620839,-29.22148244709656,-3.767297801610593,-14.11887957305485,-23.62058240878032,-7.8059527399374495,-4.686558042113313,-9.567500021298226,-10.228092138992553,-3.190652792033184,-7.295095676562392,-1.5056227024039452,-8.237542706671444,-8.537483054419924,-5.927384944998955,0.04259370800765157,0.039562206568017184,-0.03393848109293099,0.00298008739969856,0.009742765273962138,0.014012831212294737,-0.000432220286458649,-0.010817262905180218,0.008990098923807309,0.0008727722447172976,0.02709474793195184,-0.02878444336471735,0.0024559920424783747,0.004774496792994709,0.0009496361014935933,-0.01690611322309748,-0.028937579258849027,-0.004985801008574795,0.041847637574697207,0.007517746167525179,-0.0817016557179912,-0.07900272391564636,0.018793114035176733,0.02602266776585806,0.04458014366546213,-0.04098221092460654,0.029903289008700124,0.013911320298376197,0.015985285305302844,0.002810991897875938,-0.009483611087196444,-0.022705947767003527,0.012470906060494889,-0.009620610553784166,0.01977956058749454,0.0031100060834651716,-0.021947706224134493,-0.01577289191463472,0.01658283315018301,-0.03858667436978277,0.0760678063865049,2574.8821355132727,2484.8520031948688,19.84008471438851,15.360960240234371,18.005751315981026,17.809336819116137,18.916786319516874,27.955188898896314,54.86614682956773,4358.88539392527,-0.04181700753977029,-0.03552579127537488,0.0063044225623131184,-0.0685353725578596,-0.0034730340063404094,0.010704746361745432,0
0.0505045572916666,0.3851462602615356,0.3424257636070251,0.2997216582298279,0.2564132213592529,0.2515492439270019,0.2835518419742584,0.3711577653884887,0.5515428185462952,0.5836977362632751,0.4454395174980163,0.3902465403079986,0.3837437927722931,-318.42633056640625,152.22808837890625,-2.1747477054595947,29.16678047180176,7.269396781921387,-3.562683582305908,-9.63748836517334,-14.022358894348145,-6.593406677246094,-2.0565977096557617,-17.126272201538086,-16.438596725463867,-5.746337413787842,-11.249924659729004,-2.8863348960876465,-4.187239170074463,-5.613261222839356,3.729647636413574,1.9927505254745483,-8.183573722839355,0.0318396799266338,0.0269353557378053,-0.0085203191265463,-0.0068361447192728,0.0099460296332836,0.0055459011346101,0.0017723647179082,-0.0074838558211922,-0.005322431679815,-0.0005124825402162,-0.0060166358016431,-0.0056743947789072,-0.003002310404554,0.0056201666593551,0.0042860000394284,-0.0024611863773316,-0.0018841851269826,-0.0064632892608642,-0.0039927726611495,-0.000188614212675,-0.071455679833889,-0.0143120344728231,0.0461477860808372,-0.0093385316431522,-0.0168247390538454,0.0022895860020071,0.0054498156532645,0.0110396137461066,0.0003858904819935,-0.0042889690957963,0.0064853089861571,0.0075577571988105,-0.0004282054142095,-0.0060212719254195,-0.0040848813951015,0.0033461672719568,0.0030508851632475,-0.0013148279394954,-0.002296440070495,-0.0025165586266666,0.057873573154211,1856.5334435075367,2130.1475228701006,22.80245267074702,13.08935204532621,18.173247491891598,17.068720046687414,17.857478717560273,20.329997333487945,53.39583260903235,3344.430601058468,-0.0312372313950738,-0.0384973983777911,-0.0240660350261538,0.0056533817795193,-0.0104990309794755,-0.0213180295014578,0
0.05592170953357856,0.3674348328664195,0.33967539301617966,0.2673350250499523,0.2503801336648344,0.27522144803667525,0.2879507072386753,0.3851984262196817,0.5455183534604636,0.5898760737735809,0.43187051881103805,0.42957542819912586,0.386074485687265,-318.43868975270794,152.21700588587902,-2.1564684954350892,29.176576897965347,7.272886921360862,-3.541195407550996,-9.631489340781954,-14.026028356604046,-6.60085352231679,-2.0828681193491887,-17.12182662923853,-16.438103526183166,-5.713260220221708,-11.25471837839841,-2.9297780987454773,-4.174598279894185,-5.622127260494158,3.6996578892136966,2.027467798523297,-8.195654895500276,0.05245864409884564,-0.004612390836026322,-0.05698859424411088,-0.014110804345048564,-0.01032414967915147,-0.008030086912786208,-0.004933094173800092,-0.005239985757335173,-0.0006158954915599993,0.007270924107390904,-0.02930966885854977,0.03313372777177466,-0.004724552784739786,0.013626792957007406,-0.006985142801205001,0.011041139168615152,-0.04693183419229621,-0.02058705393953048,-0.026503179601235063,0.0014651328428360215,-0.08698550779808623,-0.017395396158083047,0.03213947888254175,0.0007991890672047891,-0.0026671619230461095,-0.03707243859383182,-0.014685154193608252,-0.0033448870784530856,0.020174426870697437,0.026574906047486066,-0.019196075444066898,0.0062669963604738785,-0.010783327120022704,0.0004687250163069451,-0.06300129204064256,0.03480680242331767,-0.04164703027716181,0.01652366140892869,0.044975162783301166,-0.008272222186723459,0.04459992262896482,1856.551276045383,2130.1421521797274,22.77281215991317,13.078460962268922,18.194043251474582,17.048987990159166,17.855990712530662,20.307196904042375,53.38976258203972,3344.4623532662436,-0.008943232480497575,-0.06146026223609859,-0.008375122708736197,0.0032422419206824507,0.021603063631879034,-0.017065019633974016,0
0.0616359435405927,0.4360577166080475,0.3924983143806457,0.3789627254009247,0.4364053010940552,0.4837721586227417,0.4101241827011108,0.3445435464382171,0.3465887606143951,0.4420967400074005,0.5434904098510742,0.5662128329277039,0.5174047946929932,-398.0450134277344,143.49452209472656,1.842291116714477,24.96353912353516,4.690291404724121,17.430444717407227,-8.806578636169434,-5.808464527130127,-4.763723373413086,-6.640564918518066,-6.34482479095459,-8.9556303024292,-10.250835418701172,-12.01266384124756,-2.816536426544189,-1.6663628816604614,-0.7013679146766663,-2.403381824493408,-4.624236583709717,-7.2976460456848145,0.0019991057924926,-0.0156684555113315,-0.0065695182420313,0.0116413217037916,6.0573067457880825e-05,-0.0013547946000471,-0.0025410417001694,0.0009887012420222,-0.0010684583103284,-0.000221623093239,0.0040915375575423,-0.0008747115498408,-0.000386521249311,-0.0032049543224275,-0.0033730885479599,0.0011626803316175,-0.0012343192938715,-0.0045749950222671,5.637247522827238e-05,0.0029340418986976,-0.0615011230111122,-0.0229977499693632,0.0052280626259744,-0.0182119756937026,0.0003875705297105,0.0010599718661978,0.0024865726009011,-0.0010387448128312,-0.0024838936515152,0.0021984081249684,0.0003592151333577,0.0021624530199915,-0.0009472332312725,-0.0020651256199926,-0.0026305909268558,-0.0023348866961896,0.0024500943254679,0.0055687697604298,0.0001580943790031,0.0003407121985219,0.0249207597225904,2354.607577628697,2803.479050409524,18.29224751076811,10.798463095146088,14.844106712624228,16.10589006219046,16.895186711903715,20.68293651517876,54.865596609240384,4709.64451111469,0.0012145063054982,-0.0153948842922451,-0.0441041089308727,0.0056523810652051,0.0028262297001533,0.0049240932111585,0
0.1099292389783637,0.4347059755228091,0.40499793974253445,0.39221991880829576,0.436676374635653,0.46717331277191776,0.40175688559112654,0.31940645423127506,0.35318813959578027,0.4411481432384543,0.5416568907517475,0.5774520454404096,0.5631321422829928,-398.03661079368044,143.52046670345828,1.8136929879538775,24.933988422605584,4.690896208717336,17.4705197805251,-8.799164449486076,-5.796073208927852,-4.756391018622728,-6.637164968099455,-6.336797443558799,-8.957612109743591,-10.246020549171028,-11.995621020874918,-2.8024403024856475,-1.665549516310268,-0.7039184915434429,-2.3721986477513077,-4.639767531741484,-7.275575408585355,0.030945884681422918,-0.004464407235211342,-0.0164660673737343,-0.011056475980587276,-0.011505419494748493,-0.025074538429381392,0.009982418327343787,-0.01072900799056437,-0.022950438099438523,-0.0015140164362436237,-0.0016379934240614335,-0.004091393281026027,-0.011717134687879226,-0.0036179362842394154,-0.011081018840962575,0.007722552416658337,0.042261252226579026,0.004260960843957084,-0.03983181405491636,-0.00897788466309258,-0.067467553105299,-0.03477661193233075,0.00724931628855548,-0.03158467912989549,0.03670723346855887,-0.02359358169406572,-0.023090252863159286,-0.008449704045604597,0.00036782063549662064,-0.009054144525307662,0.007035913043724767,0.008597844565499873,0.012735545514286033,-0.02385152391322482,0.025515469520680192,-0.026282507770946383,0.019699082809305532,0.013715880821443592,0.014667815913283472,-0.02871864107669597,0.02065471746207885,2354.6233956545434,2803.4925538175617,18.295441018634826,10.77280345927044,14.841452857533294,16.112724972552066,16.878235891279704,20.691029481615946,54.871983052356185,4709.664630252869,-0.012719087648351512,-0.007703458754962096,-0.04539820912570187,-0.009319839604265651,0.015697747028352613,-0.015028803943134267,0
0.0527861060165777,0.3471556007862091,0.3492605686187744,0.3268233239650726,0.2993377149105072,0.3268596231937408,0.4197736978530884,0.4794474840164184,0.504935085773468,0.4310791790485382,0.3665117025375366,0.3510262668132782,0.3585887551307678,-367.0577697753906,133.5849151611328,-2.00661849975586,18.70820999145508,4.13516092300415,-0.0060329902917146,-11.534957885742188,-12.322021484375,-11.596620559692385,-9.76429557800293,-3.970767974853516,-16.403535842895508,-12.248724937438965,-3.0798463821411133,-5.96969747543335,-5.413858413696289,-0.4631420373916626,-1.1829686164855957,-6.2891130447387695,-8.33195686340332,0.0528278946876525,0.0376362614333629,-0.0104040456935763,-0.0108305672183632,0.0019223835552111,0.0049351742491126,0.0026648081839084,-0.0039997608400881,-0.0057270601391792,-0.0028352956287562,-0.0003901102172676,0.0015775422798469,0.0015191399725154,-0.0028525053057819,-0.0065981191582977,-0.0012193224392831,0.0031229178421199,0.002980122808367,0.0051906481385231,0.0053956131450831,-0.021991241723299,-0.0274812821298837,-0.0098914457485079,0.0069842613302171,0.0049370089545845,-0.0017332540592178,-0.0028155881445854,-0.0018782864790409,-0.0023201287258416,-0.0010341882007196,-0.0004404574283398,-0.0018592197448015,0.0014271672116592,0.0046428106725215,0.0053659407421946,0.0025484149809926,-0.0070907482877373,-0.0104621024802327,-0.00078493100591,0.0047316262498497,0.0367388315498828,2091.425169899981,2416.4259075253863,19.696584030765013,13.951137300223088,17.339756846991094,17.05055442995812,17.288745721682222,22.564324831782177,54.12317538364965,3831.350968523723,-0.0011316482590904,-0.0164850800041203,0.0151729022675166,-0.0783963381847305,-0.0076856614610315,0.0007745690514062,0
0.030541719556519673,0.3381232219720848,0.35506062835645624,0.32318658821406276,0.25976014305557477,0.32816818675381554,0.3861878191928107,0.47488072121722985,0.4858782198268724,0.4478892573098765,0.3725333288781483,0.3392685129165747,0.3788967295463923,-367.03454122446203,133.60814624400442,-2.012303209918099,18.69435240675289,4.091910961567485,-0.021962579453237957,-11.54114566139822,-12.315113266084118,-11.559509900253117,-9.755446967548849,-3.98765298806387,-16.382422300075696,-12.250537025901092,-3.077602999955696,-5.937028111962228,-5.447795824993776,-0.4286630904590391,-1.152338755235956,-6.297496866572582,-8.373590276450194,0.049928275204403086,0.028222054507285904,-0.013448040244833839,-0.0054440772824862664,-0.010152220563340864,-0.02281527388209685,0.02281068517707488,-0.013268593167700186,0.0070240405565023395,0.011142678564341965,-0.015016016179667161,-0.004484157304026657,0.006810954269816158,0.0013097635116259472,-0.029141414113239103,0.004656549945253217,0.004485627560829335,-0.016542585748014697,0.011839352207272103,0.01197351057327553,-0.02821942331324894,-0.013364679437745197,0.021705597529865776,0.020121262357994274,0.03024125660442374,-0.026780820393507196,0.0018052877942921148,0.011952195071188863,0.028193898532494075,-0.002769455211598627,-0.010393353265003966,-0.007077167214791092,0.016102232605390503,0.025909945460283978,-0.0003997366307983176,-0.02833461484871118,-0.03171673348527172,0.002120900484565218,0.008898489045815087,0.006072038965381097,0.04190447248828487,2091.419301749752,2416.418812504319,19.68416698392622,13.947078139282546,17.340658092384917,17.034046369024157,17.288875823113905,22.543389918172675,54.13661888536185,3831.3570338798368,0.016225260139198047,-0.023401120368214557,0.02850902625729198,-0.08118192965408016,-0.0009151359198981803,-0.01578006962463828,0
0.0701346048494664,0.3843307495117187,0.3384861052036285,0.2884837687015533,0.2729789614677429,0.3289733827114105,0.4306259155273437,0.4857633113861084,0.5288531184196472,0.5375542640686035,0.5298579335212708,0.5071616172790527,0.4435037672519684,-341.4549865722656,134.63783264160156,-1.5054941177368164,37.02678298950195,1.1593505144119265,4.7264251708984375,10.332199096679688,-10.22774600982666,-15.182063102722168,0.8691865801811218,-10.526459693908691,-11.809670448303224,-11.181829452514648,-8.355965614318848,-2.5081796646118164,-5.584134578704834,-6.930166244506836,-2.999434471130371,2.4608683586120605,-3.540705919265747,0.0270913746207952,-0.0016432971460744,-0.0228721871972084,0.0039094542153179,0.0032583372667431,-0.0010206887964159,0.0003287501458544,0.0027074988465756,0.0070273280143737,-0.0015421665739268,-0.0018877721158787,0.0094932252541184,0.0065695471130311,-0.0008555054664611,0.0040626185946166,0.0037669287994503,-0.0030900007113814,-0.0037111167330294,0.0021825078874826,0.0089386934414505,-0.1150934994220733,-0.0494554229080677,0.0218063481152057,-0.0121421702206134,-0.0004287187766749,-0.0087358374148607,-0.0104634277522563,-0.0072631575167179,-0.0052118403837084,0.004154575522989,0.0059446305967867,-4.420193363330327e-05,-0.0012809867039322,0.0055134948343038,0.0017623075982555,0.0025129381101578,0.0027029940392822,0.001944244839251,0.0008155170944519,-0.0056024156510829,0.0413578562438488,2404.5258617703184,2604.4905853439827,20.257216735209155,12.186266690654769,16.702168084941512,15.173694601839223,18.19073202686516,18.53713697461176,54.93402655451189,4554.2724609375,0.013504802446885,0.0091281955233475,0.0147671912095462,-0.0440593229790599,0.0056711209886798,-0.0016082486886815,0
0.07046169770730876,0.3763618095727427,0.32679166927580106,0.300188210584036,0.2767488051090516,0.3235649685744703,0.4153375115685242,0.4914484065665479,0.5309173607088478,0.5621802954611357,0.5316076138517978,0.5263524997366034,0.4306052160857262,-341.4569666145106,134.68481716277049,-1.515555666912991,37.02195904686849,1.1426531118333612,4.714724112169477,10.348382353245807,-10.24774678572107,-15.216817352840321,0.868583763182412,-10.542633453690959,-11.76682664541549,-11.183276935154964,-8.337002371158892,-2.527551130380566,-5.5747120187135835,-6.934286755620327,-3.0379798789884487,2.4983885232672507,-3.522089464430139,0.06779060729890399,0.02696817688123847,-0.04111441847422859,0.017492068111994313,0.007528832837128363,0.020587947600232356,0.0032666459764766984,0.01268349489748969,-0.014066130109895245,-0.0048146066528907995,-0.007886432572634959,0.00863614848939011,0.036750785874602024,0.007105634797811202,-0.00721315731501638,-0.007630808154613061,-0.023009953799324172,-0.010042776428935063,0.004890479989774778,0.01954251861663637,-0.13534679671109084,-0.04709050475193485,0.015411074784963893,-0.009722855458254723,0.01531081093088248,-0.009320962470901167,-0.045411908604283305,0.003889283565478404,0.05446106226290642,0.03241542238410923,0.028447630001874506,-0.01270222266749732,0.009526988894295475,0.011442173695939608,0.012403305283668066,0.0012451868746777518,0.0475331591232325,0.05241095113915441,-0.008800954054822476,-0.028186349739614154,0.03822978939439257,2404.5234319851274,2604.4781704563457,20.256540432042836,12.152639293303821,16.70449010616605,15.15739202515898,18.224527034666522,18.516687860095033,54.90662698844964,4554.283191956678,0.029161958396050187,-0.0015559174335410975,0.008889532099081086,-0.03996190385294675,-0.014822374698180884,0.01522925367353559,0
